strategy,run,iteration,infected,infected_nodes
random,0,0,4,"34,61,92,98"
random,0,1,1,45
random,0,2,0,
random,0,3,0,
random,0,4,0,
random,0,5,0,
random,0,6,0,
random,0,7,0,
random,0,8,0,
random,0,9,0,
degree,0,0,4,"18,39,70,87"
degree,0,1,1,50
degree,0,2,0,
degree,0,3,0,
degree,0,4,0,
degree,0,5,0,
degree,0,6,0,
degree,0,7,0,
degree,0,8,0,
degree,0,9,0,
betweenness,0,0,4,"13,65,92,99"
betweenness,0,1,0,
betweenness,0,2,0,
betweenness,0,3,0,
betweenness,0,4,0,
betweenness,0,5,0,
betweenness,0,6,0,
betweenness,0,7,0,
betweenness,0,8,0,
betweenness,0,9,0,
random,1,0,4,"14,40,64,77"
random,1,1,1,2
random,1,2,0,
random,1,3,0,
random,1,4,0,
random,1,5,0,
random,1,6,0,
random,1,7,0,
random,1,8,0,
random,1,9,0,
degree,1,0,4,"38,39,45,76"
degree,1,1,0,
degree,1,2,0,
degree,1,3,0,
degree,1,4,0,
degree,1,5,0,
degree,1,6,0,
degree,1,7,0,
degree,1,8,0,
degree,1,9,0,
betweenness,1,0,4,"31,46,66,75"
betweenness,1,1,0,
betweenness,1,2,0,
betweenness,1,3,0,
betweenness,1,4,0,
betweenness,1,5,0,
betweenness,1,6,0,
betweenness,1,7,0,
betweenness,1,8,0,
betweenness,1,9,0,
random,2,0,4,"5,28,44,74"
random,2,1,2,"31,32"
random,2,2,0,
random,2,3,0,
random,2,4,0,
random,2,5,0,
random,2,6,0,
random,2,7,0,
random,2,8,0,
random,2,9,0,
degree,2,0,4,"41,50,86,97"
degree,2,1,0,
degree,2,2,0,
degree,2,3,0,
degree,2,4,0,
degree,2,5,0,
degree,2,6,0,
degree,2,7,0,
degree,2,8,0,
degree,2,9,0,
betweenness,2,0,4,"24,40,65,93"
betweenness,2,1,1,18
betweenness,2,2,0,
betweenness,2,3,0,
betweenness,2,4,0,
betweenness,2,5,0,
betweenness,2,6,0,
betweenness,2,7,0,
betweenness,2,8,0,
betweenness,2,9,0,
random,3,0,4,"21,33,67,77"
random,3,1,3,"5,53,80"
random,3,2,3,"11,41,88"
random,3,3,0,
random,3,4,0,
random,3,5,0,
random,3,6,0,
random,3,7,0,
random,3,8,0,
random,3,9,0,
degree,3,0,4,"10,42,72,97"
degree,3,1,1,21
degree,3,2,0,
degree,3,3,0,
degree,3,4,0,
degree,3,5,0,
degree,3,6,0,
degree,3,7,0,
degree,3,8,0,
degree,3,9,0,
betweenness,3,0,4,"39,60,77,97"
betweenness,3,1,0,
