strategy,run,iteration,infected,infected_nodes
random,0,0,4,"6,33,88,93"
random,0,1,2,"4,56"
random,0,2,0,
random,0,3,0,
random,0,4,0,
random,0,5,0,
random,0,6,0,
random,0,7,0,
random,0,8,0,
random,0,9,0,
random,0,10,0,
random,0,11,0,
random,0,12,0,
random,0,13,0,
random,0,14,0,
random,0,15,0,
random,0,16,0,
random,0,17,0,
random,0,18,0,
random,0,19,0,
random,0,20,0,
random,0,21,0,
random,0,22,0,
random,0,23,0,
random,0,24,0,
random,0,25,0,
random,0,26,0,
random,0,27,0,
random,0,28,0,
random,0,29,0,
degree,0,0,4,"17,22,35,79"
degree,0,1,1,67
degree,0,2,1,77
degree,0,3,0,
degree,0,4,0,
degree,0,5,0,
degree,0,6,0,
degree,0,7,0,
degree,0,8,0,
degree,0,9,0,
degree,0,10,0,
degree,0,11,0,
degree,0,12,0,
degree,0,13,0,
degree,0,14,0,
degree,0,15,0,
degree,0,16,0,
degree,0,17,0,
degree,0,18,0,
degree,0,19,0,
degree,0,20,0,
degree,0,21,0,
degree,0,22,0,
degree,0,23,0,
degree,0,24,0,
degree,0,25,0,
degree,0,26,0,
degree,0,27,0,
degree,0,28,0,
degree,0,29,0,
betweenness,0,0,4,"41,48,53,95"
betweenness,0,1,2,"70,85"
betweenness,0,2,0,
betweenness,0,3,0,
betweenness,0,4,0,
betweenness,0,5,0,
betweenness,0,6,0,
betweenness,0,7,0,
betweenness,0,8,0,
betweenness,0,9,0,
betweenness,0,10,0,
betweenness,0,11,0,
betweenness,0,12,0,
betweenness,0,13,0,
betweenness,0,14,0,
betweenness,0,15,0,
betweenness,0,16,0,
betweenness,0,17,0,
betweenness,0,18,0,
betweenness,0,19,0,
betweenness,0,20,0,
betweenness,0,21,0,
betweenness,0,22,0,
betweenness,0,23,0,
betweenness,0,24,0,
betweenness,0,25,0,
betweenness,0,26,0,
betweenness,0,27,0,
betweenness,0,28,0,
betweenness,0,29,0,
greedy,0,0,4,"4,13,70,87"
greedy,0,1,0,
greedy,0,2,0,
greedy,0,3,0,
greedy,0,4,0,
greedy,0,5,0,
greedy,0,6,0,
greedy,0,7,0,
greedy,0,8,0,
greedy,0,9,0,
greedy,0,10,0,
greedy,0,11,0,
greedy,0,12,0,
greedy,0,13,0,
greedy,0,14,0,
greedy,0,15,0,
greedy,0,16,0,
greedy,0,17,0,
greedy,0,18,0,
greedy,0,19,0,
greedy,0,20,0,
greedy,0,21,0,
greedy,0,22,0,
greedy,0,23,0,
greedy,0,24,0,
greedy,0,25,0,
greedy,0,26,0,
greedy,0,27,0,
greedy,0,28,0,
greedy,0,29,0,
genetic,0,0,4,"18,35,65,67"
genetic,0,1,2,"7,14"
genetic,0,2,2,"28,89"
genetic,0,3,0,
genetic,0,4,0,
genetic,0,5,0,
genetic,0,6,0,
genetic,0,7,0,
genetic,0,8,0,
genetic,0,9,0,
genetic,0,10,0,
genetic,0,11,0,
genetic,0,12,0,
genetic,0,13,0,
genetic,0,14,0,
genetic,0,15,0,
genetic,0,16,0,
genetic,0,17,0,
genetic,0,18,0,
genetic,0,19,0,
genetic,0,20,0,
genetic,0,21,0,
genetic,0,22,0,
genetic,0,23,0,
genetic,0,24,0,
genetic,0,25,0,
genetic,0,26,0,
genetic,0,27,0,
genetic,0,28,0,
genetic,0,29,0,
random,1,0,4,"8,23,32,95"
random,1,1,3,"9,19,59"
random,1,2,3,"31,38,79"
random,1,3,1,4
random,1,4,0,
random,1,5,0,
random,1,6,0,
random,1,7,0,
random,1,8,0,
random,1,9,0,
random,1,10,0,
random,1,11,0,
random,1,12,0,
random,1,13,0,
random,1,14,0,
random,1,15,0,
random,1,16,0,
random,1,17,0,
random,1,18,0,
random,1,19,0,
random,1,20,0,
random,1,21,0,
random,1,22,0,
random,1,23,0,
random,1,24,0,
random,1,25,0,
random,1,26,0,
random,1,27,0,
random,1,28,0,
random,1,29,0,
degree,1,0,4,"49,74,80,88"
degree,1,1,0,
degree,1,2,0,
degree,1,3,0,
degree,1,4,0,
degree,1,5,0,
degree,1,6,0,
degree,1,7,0,
degree,1,8,0,
degree,1,9,0,
degree,1,10,0,
degree,1,11,0,
degree,1,12,0,
degree,1,13,0,
degree,1,14,0,
degree,1,15,0,
degree,1,16,0,
degree,1,17,0,
degree,1,18,0,
degree,1,19,0,
degree,1,20,0,
degree,1,21,0,
degree,1,22,0,
degree,1,23,0,
degree,1,24,0,
degree,1,25,0,
degree,1,26,0,
degree,1,27,0,
degree,1,28,0,
degree,1,29,0,
betweenness,1,0,4,"29,37,76,92"
betweenness,1,1,1,79
betweenness,1,2,0,
betweenness,1,3,0,
betweenness,1,4,0,
betweenness,1,5,0,
betweenness,1,6,0,
betweenness,1,7,0,
betweenness,1,8,0,
betweenness,1,9,0,
betweenness,1,10,0,
betweenness,1,11,0,
betweenness,1,12,0,
betweenness,1,13,0,
betweenness,1,14,0,
betweenness,1,15,0,
betweenness,1,16,0,
betweenness,1,17,0,
betweenness,1,18,0,
betweenness,1,19,0,
betweenness,1,20,0,
betweenness,1,21,0,
betweenness,1,22,0,
betweenness,1,23,0,
betweenness,1,24,0,
betweenness,1,25,0,
betweenness,1,26,0,
betweenness,1,27,0,
betweenness,1,28,0,
betweenness,1,29,0,
greedy,1,0,4,"39,60,66,73"
greedy,1,1,1,90
greedy,1,2,0,
greedy,1,3,0,
greedy,1,4,0,
greedy,1,5,0,
greedy,1,6,0,
greedy,1,7,0,
greedy,1,8,0,
greedy,1,9,0,
greedy,1,10,0,
greedy,1,11,0,
greedy,1,12,0,
greedy,1,13,0,
greedy,1,14,0,
greedy,1,15,0,
greedy,1,16,0,
greedy,1,17,0,
greedy,1,18,0,
greedy,1,19,0,
greedy,1,20,0,
greedy,1,21,0,
greedy,1,22,0,
greedy,1,23,0,
greedy,1,24,0,
greedy,1,25,0,
greedy,1,26,0,
greedy,1,27,0,
greedy,1,28,0,
greedy,1,29,0,
genetic,1,0,4,"26,62,78,86"
genetic,1,1,0,
genetic,1,2,0,
genetic,1,3,0,
genetic,1,4,0,
genetic,1,5,0,
genetic,1,6,0,
genetic,1,7,0,
genetic,1,8,0,
genetic,1,9,0,
genetic,1,10,0,
genetic,1,11,0,
genetic,1,12,0,
genetic,1,13,0,
genetic,1,14,0,
genetic,1,15,0,
genetic,1,16,0,
genetic,1,17,0,
genetic,1,18,0,
genetic,1,19,0,
genetic,1,20,0,
genetic,1,21,0,
