strategy,run,iteration,infected,infected_nodes
random,0,0,24,"39,43,58,59,69,201,206,234,235,240,243,271,273,284,297,306,329,337,375,385,423,466,489,496"
random,0,1,7,"0,5,70,88,145,164,354"
random,0,2,4,"7,78,81,383"
random,0,3,7,"11,44,104,183,351,430,456"
random,0,4,5,"118,151,222,250,499"
random,0,5,2,"33,487"
random,0,6,0,
random,0,7,0,
random,0,8,0,
random,0,9,0,
random,0,10,0,
random,0,11,0,
random,0,12,0,
random,0,13,0,
random,0,14,0,
random,0,15,0,
random,0,16,0,
random,0,17,0,
random,0,18,0,
random,0,19,0,
random,0,20,0,
random,0,21,0,
random,0,22,0,
random,0,23,0,
random,0,24,0,
random,0,25,0,
random,0,26,0,
random,0,27,0,
random,0,28,0,
random,0,29,0,
degree,0,0,24,"36,45,80,87,96,107,133,146,163,165,173,175,225,245,260,289,316,323,353,438,446,449,457,486"
degree,0,1,3,"213,303,493"
degree,0,2,1,102
degree,0,3,0,
degree,0,4,0,
degree,0,5,0,
degree,0,6,0,
degree,0,7,0,
degree,0,8,0,
degree,0,9,0,
degree,0,10,0,
degree,0,11,0,
degree,0,12,0,
degree,0,13,0,
degree,0,14,0,
degree,0,15,0,
degree,0,16,0,
degree,0,17,0,
degree,0,18,0,
degree,0,19,0,
degree,0,20,0,
degree,0,21,0,
degree,0,22,0,
degree,0,23,0,
degree,0,24,0,
degree,0,25,0,
degree,0,26,0,
degree,0,27,0,
degree,0,28,0,
degree,0,29,0,
betweenness,0,0,24,"4,23,33,59,75,84,115,175,178,189,212,226,229,265,268,312,334,342,353,373,394,429,434,481"
betweenness,0,1,8,"3,29,38,72,92,93,137,216"
betweenness,0,2,4,"10,121,257,405"
betweenness,0,3,1,106
betweenness,0,4,1,420
betweenness,0,5,0,
betweenness,0,6,0,
betweenness,0,7,0,
betweenness,0,8,0,
betweenness,0,9,0,
betweenness,0,10,0,
betweenness,0,11,0,
betweenness,0,12,0,
betweenness,0,13,0,
betweenness,0,14,0,
betweenness,0,15,0,
betweenness,0,16,0,
betweenness,0,17,0,
betweenness,0,18,0,
betweenness,0,19,0,
betweenness,0,20,0,
betweenness,0,21,0,
betweenness,0,22,0,
betweenness,0,23,0,
betweenness,0,24,0,
betweenness,0,25,0,
betweenness,0,26,0,
betweenness,0,27,0,
betweenness,0,28,0,
betweenness,0,29,0,
greedy,0,0,24,"24,87,89,96,111,122,193,195,214,227,239,247,257,259,302,306,328,337,352,383,396,429,442,451"
greedy,0,1,10,"0,8,51,84,153,269,281,359,385,407"
greedy,0,2,8,"10,19,37,50,54,129,179,223"
greedy,0,3,2,"62,101"
greedy,0,4,2,"5,421"
greedy,0,5,2,"61,155"
greedy,0,6,0,
greedy,0,7,0,
greedy,0,8,0,
greedy,0,9,0,
greedy,0,10,0,
greedy,0,11,0,
greedy,0,12,0,
greedy,0,13,0,
greedy,0,14,0,
greedy,0,15,0,
greedy,0,16,0,
greedy,0,17,0,
greedy,0,18,0,
greedy,0,19,0,
greedy,0,20,0,
greedy,0,21,0,
greedy,0,22,0,
greedy,0,23,0,
greedy,0,24,0,
greedy,0,25,0,
greedy,0,26,0,
greedy,0,27,0,
greedy,0,28,0,
greedy,0,29,0,
genetic,0,0,24,"24,35,36,58,132,145,158,177,239,251,257,263,276,286,298,326,371,374,377,408,423,456,478,498"
genetic,0,1,7,"0,38,102,149,302,398,437"
genetic,0,2,8,"22,195,236,347,384,441,442,454"
genetic,0,3,1,52
genetic,0,4,0,
genetic,0,5,0,
genetic,0,6,0,
genetic,0,7,0,
genetic,0,8,0,
genetic,0,9,0,
genetic,0,10,0,
genetic,0,11,0,
genetic,0,12,0,
genetic,0,13,0,
genetic,0,14,0,
genetic,0,15,0,
genetic,0,16,0,
genetic,0,17,0,
genetic,0,18,0,
genetic,0,19,0,
genetic,0,20,0,
genetic,0,21,0,
genetic,0,22,0,
genetic,0,23,0,
genetic,0,24,0,
genetic,0,25,0,
genetic,0,26,0,
genetic,0,27,0,
genetic,0,28,0,
genetic,0,29,0,
random,1,0,24,"7,8,12,45,71,84,120,181,207,221,228,237,250,255,282,285,310,316,416,419,453,467,472,485"
random,1,1,7,"19,46,75,118,226,232,279"
random,1,2,4,"103,243,253,327"
random,1,3,0,
random,1,4,0,
random,1,5,0,
random,1,6,0,
random,1,7,0,
random,1,8,0,
random,1,9,0,
random,1,10,0,
random,1,11,0,
random,1,12,0,
random,1,13,0,
random,1,14,0,
random,1,15,0,
random,1,16,0,
random,1,17,0,
random,1,18,0,
random,1,19,0,
