strategy,run,iteration,infected,infected_nodes
random,0,0,4,"25,34,39,68"
random,0,1,1,6
random,0,2,0,
random,0,3,0,
random,0,4,0,
random,0,5,0,
random,0,6,0,
random,0,7,0,
random,0,8,0,
random,0,9,0,
random,0,10,0,
random,0,11,0,
random,0,12,0,
random,0,13,0,
random,0,14,0,
random,0,15,0,
random,0,16,0,
random,0,17,0,
random,0,18,0,
random,0,19,0,
random,0,20,0,
random,0,21,0,
random,0,22,0,
random,0,23,0,
random,0,24,0,
random,0,25,0,
random,0,26,0,
random,0,27,0,
random,0,28,0,
random,0,29,0,
degree,0,0,4,"19,26,63,75"
degree,0,1,2,"4,80"
degree,0,2,0,
degree,0,3,0,
degree,0,4,0,
degree,0,5,0,
degree,0,6,0,
degree,0,7,0,
degree,0,8,0,
degree,0,9,0,
degree,0,10,0,
degree,0,11,0,
degree,0,12,0,
degree,0,13,0,
degree,0,14,0,
degree,0,15,0,
degree,0,16,0,
degree,0,17,0,
degree,0,18,0,
degree,0,19,0,
degree,0,20,0,
degree,0,21,0,
degree,0,22,0,
degree,0,23,0,
degree,0,24,0,
degree,0,25,0,
degree,0,26,0,
degree,0,27,0,
degree,0,28,0,
degree,0,29,0,
betweenness,0,0,4,"26,31,38,82"
betweenness,0,1,0,
betweenness,0,2,0,
betweenness,0,3,0,
betweenness,0,4,0,
betweenness,0,5,0,
betweenness,0,6,0,
betweenness,0,7,0,
betweenness,0,8,0,
betweenness,0,9,0,
betweenness,0,10,0,
betweenness,0,11,0,
betweenness,0,12,0,
betweenness,0,13,0,
betweenness,0,14,0,
betweenness,0,15,0,
betweenness,0,16,0,
betweenness,0,17,0,
betweenness,0,18,0,
betweenness,0,19,0,
betweenness,0,20,0,
betweenness,0,21,0,
betweenness,0,22,0,
betweenness,0,23,0,
betweenness,0,24,0,
betweenness,0,25,0,
betweenness,0,26,0,
betweenness,0,27,0,
betweenness,0,28,0,
betweenness,0,29,0,
greedy,0,0,4,"25,63,79,89"
greedy,0,1,1,57
greedy,0,2,1,77
greedy,0,3,0,
greedy,0,4,0,
greedy,0,5,0,
greedy,0,6,0,
greedy,0,7,0,
greedy,0,8,0,
greedy,0,9,0,
greedy,0,10,0,
greedy,0,11,0,
greedy,0,12,0,
greedy,0,13,0,
greedy,0,14,0,
greedy,0,15,0,
greedy,0,16,0,
greedy,0,17,0,
greedy,0,18,0,
greedy,0,19,0,
greedy,0,20,0,
greedy,0,21,0,
greedy,0,22,0,
greedy,0,23,0,
greedy,0,24,0,
greedy,0,25,0,
greedy,0,26,0,
greedy,0,27,0,
greedy,0,28,0,
greedy,0,29,0,
