strategy,run,iteration,infected,infected_nodes
random,1,0,4,"[1, 8, 15, 21],[0],[29],[],[],[],[],[],[],[]"
random,1,1,1,"[1, 8, 15, 21],[0],[29],[],[],[],[],[],[],[]"
random,1,2,1,"[1, 8, 15, 21],[0],[29],[],[],[],[],[],[],[]"
random,1,3,0,"[1, 8, 15, 21],[0],[29],[],[],[],[],[],[],[]"
random,1,4,0,"[1, 8, 15, 21],[0],[29],[],[],[],[],[],[],[]"
random,1,5,0,"[1, 8, 15, 21],[0],[29],[],[],[],[],[],[],[]"
random,1,6,0,"[1, 8, 15, 21],[0],[29],[],[],[],[],[],[],[]"
random,1,7,0,"[1, 8, 15, 21],[0],[29],[],[],[],[],[],[],[]"
random,1,8,0,"[1, 8, 15, 21],[0],[29],[],[],[],[],[],[],[]"
random,1,9,0,"[1, 8, 15, 21],[0],[29],[],[],[],[],[],[],[]"
degree,1,0,4,"[23, 64, 85, 94],[],[],[],[],[],[],[],[],[]"
degree,1,1,0,"[23, 64, 85, 94],[],[],[],[],[],[],[],[],[]"
degree,1,2,0,"[23, 64, 85, 94],[],[],[],[],[],[],[],[],[]"
degree,1,3,0,"[23, 64, 85, 94],[],[],[],[],[],[],[],[],[]"
degree,1,4,0,"[23, 64, 85, 94],[],[],[],[],[],[],[],[],[]"
degree,1,5,0,"[23, 64, 85, 94],[],[],[],[],[],[],[],[],[]"
degree,1,6,0,"[23, 64, 85, 94],[],[],[],[],[],[],[],[],[]"
degree,1,7,0,"[23, 64, 85, 94],[],[],[],[],[],[],[],[],[]"
degree,1,8,0,"[23, 64, 85, 94],[],[],[],[],[],[],[],[],[]"
degree,1,9,0,"[23, 64, 85, 94],[],[],[],[],[],[],[],[],[]"
betweenness,1,0,4,"[29, 72, 82, 86],[33],[],[],[],[],[],[],[],[]"
betweenness,1,1,1,"[29, 72, 82, 86],[33],[],[],[],[],[],[],[],[]"
betweenness,1,2,0,"[29, 72, 82, 86],[33],[],[],[],[],[],[],[],[]"
betweenness,1,3,0,"[29, 72, 82, 86],[33],[],[],[],[],[],[],[],[]"
betweenness,1,4,0,"[29, 72, 82, 86],[33],[],[],[],[],[],[],[],[]"
betweenness,1,5,0,"[29, 72, 82, 86],[33],[],[],[],[],[],[],[],[]"
betweenness,1,6,0,"[29, 72, 82, 86],[33],[],[],[],[],[],[],[],[]"
betweenness,1,7,0,"[29, 72, 82, 86],[33],[],[],[],[],[],[],[],[]"
betweenness,1,8,0,"[29, 72, 82, 86],[33],[],[],[],[],[],[],[],[]"
betweenness,1,9,0,"[29, 72, 82, 86],[33],[],[],[],[],[],[],[],[]"
greedy,1,0,4,"[25, 46, 76, 78],[13, 55, 73],[67],[],[],[],[],[],[],[]"
greedy,1,1,3,"[25, 46, 76, 78],[13, 55, 73],[67],[],[],[],[],[],[],[]"
greedy,1,2,1,"[25, 46, 76, 78],[13, 55, 73],[67],[],[],[],[],[],[],[]"
greedy,1,3,0,"[25, 46, 76, 78],[13, 55, 73],[67],[],[],[],[],[],[],[]"
greedy,1,4,0,"[25, 46, 76, 78],[13, 55, 73],[67],[],[],[],[],[],[],[]"
greedy,1,5,0,"[25, 46, 76, 78],[13, 55, 73],[67],[],[],[],[],[],[],[]"
greedy,1,6,0,"[25, 46, 76, 78],[13, 55, 73],[67],[],[],[],[],[],[],[]"
greedy,1,7,0,"[25, 46, 76, 78],[13, 55, 73],[67],[],[],[],[],[],[],[]"
greedy,1,8,0,"[25, 46, 76, 78],[13, 55, 73],[67],[],[],[],[],[],[],[]"
greedy,1,9,0,"[25, 46, 76, 78],[13, 55, 73],[67],[],[],[],[],[],[],[]"
genetic,1,0,4,"[26, 45, 70, 79],[6, 29],[60, 67],[],[],[],[],[],[],[]"
genetic,1,1,2,"[26, 45, 70, 79],[6, 29],[60, 67],[],[],[],[],[],[],[]"
genetic,1,2,2,"[26, 45, 70, 79],[6, 29],[60, 67],[],[],[],[],[],[],[]"
genetic,1,3,0,"[26, 45, 70, 79],[6, 29],[60, 67],[],[],[],[],[],[],[]"
genetic,1,4,0,"[26, 45, 70, 79],[6, 29],[60, 67],[],[],[],[],[],[],[]"
genetic,1,5,0,"[26, 45, 70, 79],[6, 29],[60, 67],[],[],[],[],[],[],[]"
genetic,1,6,0,"[26, 45, 70, 79],[6, 29],[60, 67],[],[],[],[],[],[],[]"
genetic,1,7,0,"[26, 45, 70, 79],[6, 29],[60, 67],[],[],[],[],[],[],[]"
genetic,1,8,0,"[26, 45, 70, 79],[6, 29],[60, 67],[],[],[],[],[],[],[]"
genetic,1,9,0,"[26, 45, 70, 79],[6, 29],[60, 67],[],[],[],[],[],[],[]"
random,2,0,4,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
random,2,1,3,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
random,2,2,2,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
random,2,3,0,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
random,2,4,0,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
random,2,5,0,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
random,2,6,0,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
random,2,7,0,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
random,2,8,0,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
random,2,9,0,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
degree,2,0,4,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,1,1,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,2,0,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,3,0,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,4,0,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
